0,1,source_pdf,page,table_num,2,3,4,5,6,7,8
"36
1
3
1
1
300",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"129
3
20
3
1
291",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"88
4
8
1
1
257",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"19
1
6
0
0
218",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"78
1
18
4
3
208",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"17
10
7
7
3
202",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"23
10
3
1
0
191",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"191
7
28
14
10
607",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"65
19
23
11
4
321",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
97,"10
24
20
5
320",Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
97,"1
7
5
0
190",Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"15
3
2
0
1
89",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"55
0
6
0
0
80",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"35
0
4
1
0
75",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"41
0
3
1
4
68",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"19
0
2
0
0
35",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"16
1
4
0
0
34",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"7
0
1
3
0
32",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"4
0
1
1
0
30",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"0
1
0
0
1
28",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"13
0
0
0
1
28",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"8
0
0
0
1
23",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"1
1
0
0
1
22",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"1
0
0
0
0
20",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"3
0
2
0
0
19",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"5
1
2
0
0
19",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"4
0
0
1
0
17",,Generative AI - PLR EN_WEB2.pdf,50,2,,,,,,,
"Tencent Holdings 
(China)","607
565
551",Generative AI - PLR EN_WEB2.pdf,55,4,"102
57
41
464",,,,,,
"Ping An 
Insurance (China)","262
600
599",Generative AI - PLR EN_WEB2.pdf,55,4,"26
33
24
223",,,,,,
Baidu (China),"395
465
441",Generative AI - PLR EN_WEB2.pdf,55,4,"81
26
18
166",,,,,,
IBM (US),"101
274
168",Generative AI - PLR EN_WEB2.pdf,55,4,"13
37
42
132",,,,,,
"Alibaba Group 
(China)","142
213
144",Generative AI - PLR EN_WEB2.pdf,55,4,"36
2
10
133",,,,,,
"Samsung Electr. 
(Republic of 
Korea)","173
140
226
34
10
5
57",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
Alphabet/Google,"138
107
200
25
15
15
72",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"ByteDance 
(China)","173
82
112
21
6
7
90",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
Microsoft (US),"78
194
151
18
6
22
42",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"BBK Electronics 
(China)","125
58
117
12
0
4
116",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
Netease (China),"78
76
80
37
0
11
102",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
NTT (Japan),"37
100
169
11
0
3
62",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
Huawei (China),"104
84
72
24
1
4
102",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"China Mobile 
(China)","79
67
83
10
0
7
89",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
State Grid (China),"75
54
31
6
1
2
144",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
Adobe (US),"190
79
34
30
0
9
20",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"Sony Group 
(Japan)","87
35
105
42
0
1
42",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"Siemens 
(Germany)","124
25
8
10
3
4
59",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"Ant Group 
(China)","45
82
29
3
0
6
59",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"Industrial and 
Commercial Bank 
of China (China)","40
62
49
5
0
16
48",Generative AI - PLR EN_WEB2.pdf,55,4,,,,,,,
"Chinese 
Academy of 
Sciences (China)","314
107
83
31
30
8
107",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Tsinghua 
University 
(China)","120
80
29
32
10
3
97",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Zhejiang 
University 
(China)","156
78
36
24
11
10
63",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Zhejiang 
University of 
Technology 
(China)","78
12
10
7
24
6
66",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"National 
Research 
Council of 
Science and 
Technology 
(Republic of 
Korea)","36
28
34
16
0
1
15",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Nanjing 
University of 
Aeronautics and 
Astronautics 
(China)","48
6
4
0
0
3
24",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Dalian University 
of Technology 
(China)","39
14
1
5
6
0
23",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"China University 
of Petroleum 
(China)","28
6
1
3
10
1
26",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"China University 
of Mining and 
Technology 
(China)","27
7
1
1
0
1
4",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"University of 
California (US)","20
4
3
1
5
1
4",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Capital Medical 
University 
(China)","21
2
1
0
0
0
8",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Korea Advanced 
Institute of 
Science and 
Technology 
(Republic of 
Korea)","22
4
1
3
2
0
4",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"National 
Institute of 
Information and 
Communications 
Technology 
(Japan)","3
9
20
0
0
0
1",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Northwestern 
University (US)","14
8
3
5
0
1
5",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Seoul National 
University 
(Republic of 
Korea)","18
2
3
1
1
0
1",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"University of 
Tokyo (Japan)","3
5
10
0
0
0
6",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Osaka University 
(Japan)","2
5
14
0
0
0
3",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Eidgenössische 
Technische 
Hochschule 
Zürich 
(Switzerland)","15
0
0
8
1
0
3",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Stanford 
University (US)","8
1
0
1
5
0
5",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"Arizona State 
University (US)","7
1
2
0
3
0
4",Generative AI - PLR EN_WEB2.pdf,56,5,,,,,,,
"China
12,911
9,698
8,919
1,864
920
873
9,767
Republic 
of Korea
Japan
India
Germany",,Generative AI - PLR EN_WEB2.pdf,57,6,,,,,,,
,"2,146
1,799
1,606
515
330
299
1,449",Generative AI - PLR EN_WEB2.pdf,57,6,,,,,,,
,"1,332
928
1,258
320
123
52
1,222
833
608
1,345
212
50
40
1,005",Generative AI - PLR EN_WEB2.pdf,57,6,,,,,,,
,"243
321
192
42
32
53
181
244
150
180
76
63
23
176
289
79
105
54
22
21
239",Generative AI - PLR EN_WEB2.pdf,57,6,,,,,,,
"Software/other 
1,363
875
789
347
324
259
306
308
224
300
applications",,Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Life and medical 
sciences","73
227
34
59
7
16
27
7
21
1",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Document 
management and 
publishing","239
204
183
58
73
39
13
44
61
27",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Business solutions,"119
124
51
40
91
33
11
9
39
11",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Industry and 
manufacturing","29
52
17
25
19
19
14
5
14
3",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Transportation,"68
17
42
29
8
18
26
5
6
3",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Security,"42
30
19
23
21
15
5
3
9
5",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Telecommunications,"27
25
34
9
21
46
29
7
12
9",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Personal devices, 
computing and HCI","58
48
37
15
12
47
8
13
27
17",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Banking and finance,"9
101
11
6
6
0
0
0
0
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Physical sciences 
and engineering","22
9
48
26
2
28
9
5
6
6",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Education,"14
20
12
16
6
12
7
6
7
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Entertainment,"90
2
4
9
5
5
4
5
12
4",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Arts and humanities,"15
12
15
3
10
12
3
4
8
4",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Computing in 
government","7
15
10
4
0
2
1
0
3
1",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Networks/smart,"1
23
11
8
5
5
3
0
1
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Industrial property 
law/social & 
behavioral sciences","1
17
2
0
4
0
0
0
0
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Cartography,"6
3
6
2
3
0
0
0
0
1",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Military,"7
5
0
2
1
1
1
0
1
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Energy 
management","0
0
0
0
0
0
2
0
0
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
Agriculture,"0
1
0
1
0
0
5
0
0
0",Generative AI - PLR EN_WEB2.pdf,62,7,,,,,,,
"Software/other 
applications","373
208
196
108
54
52
44
50
21
14",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Life and medical 
sciences","101
29
34
20
2
5
9
5
13",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Document 
management and 
publishing","58
29
28
6
5
4
7
1
3
2",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Business solutions,"10
8
9
1
6
1
2
2
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Industry and 
manufacturing","11
9
10
9
2
2
3
5
3",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Transportation,"20
14
19
15
7
8
9
6
6
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Security,"19
8
19
16
4
4
4
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Telecommunications,"7
7
4
10
8
5
1
2",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Personal devices, 
computing","5
1
2
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Banking and finance,"3
2
1
2",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Physical sciences 
and engineering","15
8
5
2
2
3
3
2",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Education,"4
1
2
1
5
1
1
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Entertainment,"1
1
1
1
1
3",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Arts and humanities,"7
3
4
1
1
1
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Computing in 
government","10
2
2
5
1
1
2",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Networks/smart,"1
2
4",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Industrial property 
law/social & 
behavioral sciences","3
6
3",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
Cartography,"4
1
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
,"1
1
1",Generative AI - PLR EN_WEB2.pdf,64,8,,,,,,,
"Software/other 
22,236
applications","2,746
1,803
2,056
376
352
318",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Life and medical 
sciences","3,181
979
531
261
75
113
126",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Document 
management and 
publishing","3,833
556
259
159
107
46
29",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Business,"2,882
697
718
318
108
40
27",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Industry and 
manufacturing","1,438
462
306
131
76
64
88",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Transportation,"1,458
352
250
103
40
32
58",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Security,"1,488
341
172
66
45
51
41",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Telecommunications,"1,277
397
273
143
40
37
31",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Personal devices, 
computing and HCI","866
229
158
108
42
6
15",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Banking and finance,"1,050
114
90
50
11
12
7",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Physical sciences 
and engineering","525
354
125
44
33
51
39",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Education,"506
208
207
102
18
13
14",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Entertainment,"491
211
83
99
8
27
9",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Arts and humanities,"383
97
60
75
6
11
6",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Computing in 
government","310
64
58
17
5
0
5",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Networks/smart 
cities","245
58
46
3
16
3
2",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Industrial property 
law/social & 
behavioral sciences","212
23
14
2
1
2
0",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Cartography,"147
25
9
3
5
0
3",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Military,"82
28
19
3
0
5
0",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
"Energy 
management","79
9
10
2
0
2
3",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
Agriculture,"48
21
14
9
2
3
2",Generative AI - PLR EN_WEB2.pdf,65,9,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,98,10,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,98,10,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,98,10,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,100,11,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,100,11,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,100,11,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,105,12,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,105,12,,,,,,,
,,Generative AI - PLR EN_WEB2.pdf,105,12,,,,,,,
"Xidian University
Zhejiang University
Beijing University of Technology (BJUT)
Tsinghua University
Beihang University (BUAA)
Chongqing University
Tianjin University
South China University of Technology (SCUT)
Southeast University (SEU)",,wipo_pub_1055.pdf,64,0,,,,,,,
"Electronics and Telecommunications Research Institute (ETRI)
Industry Academic Cooperation Foundation Korea (IACF)
Korea Advanced Institute of Science and Technology (KAIST)
Pohang University of Science and Technology (POSTECH)",,wipo_pub_1055.pdf,64,0,,,,,,,
"University of California
U.S. Navy
Massachusetts Institute of Technology (MIT)
Columbia University",,wipo_pub_1055.pdf,64,0,,,,,,,
"National Institute of Advanced Industrial Science and Technology (AIST)
National Institute of Information and Communications Technology (NICT)",,wipo_pub_1055.pdf,64,0,,,,,,,
"Fraunhofer
Commissariat à l'énergie atomique et aux énergies alternatives (CEA)",,wipo_pub_1055.pdf,64,0,,,,,,,
,"two  annexes,  the  Global  Digital  Compact  and  the  Declaration  of  Future  Generations.",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,Bearing in mind the need to adapt the current architecture of international relations to,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"better reflect the contemporary realities, we reaffirm our commitment to multilateralism",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"and upholding the international law, including the Purposes and Principles enshrined in",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"the Charter of the United Nations (UN), in their entirety and interconnectedness as its",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"indispensable cornerstone, and the central role of the UN in the international system, in",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"which sovereign states cooperate to maintain international peace and security, advance",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"sustainable  development,  ensure  the  promotion  and  protection  of  democracy,  human",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"rights and fundamental freedoms for all as well as cooperation based on solidarity, mutual",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"respect, justice and equality. We also reiterate our commitment to ensuring greater and",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,more meaningful participation and representation of Emerging Markets and Developing,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"Countries  (EMDCs),  as  well  as  Least  Developed  Countries  (LDCs),  especially  from",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"Africa and Latin America and the Caribbean, in global decision-making processes and",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,structures  and  making  them  better  attuned  to  contemporary  realities.  We  also  call  for,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,achieving equitable geographical representation in the Secretariat of the United Nations,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"and other international organizations in a timely manner, as well as increasing the role",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"and 
share  of  women,  especially",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,"from  EMDCs,  at  all","levels  of 
leadership  and",,,,,
"responsibilities 
in",these  organizations.  We  stress,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,the  need,"for 
the  selection  and",,,,,
appointment  process  of  UN  executive  heads  and  senior  positions  to  be  guided  by  the,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"principles of transparency and inclusiveness, and carried out in accordance with all the",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"provisions  of  Article  101  of  the  UN  Charter,  with  due  regard  for  recruiting  staff  on  a",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"geographical  basis  as  wide  as  possible  and  the  increased  participation  of  women,  and",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
adhere to the general rule that there should be no monopoly on senior posts in the UN,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
system by nationals of any State or group of States.,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
6,". Recognizing the 2023 Johannesburg-II Leaders’ Declaration, we reiterate our support",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"for a comprehensive reform of the United Nations, including its Security Council, with a",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"view to making it more democratic, representative, effective and efficient, and to increase",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
the representation of developing countries in the Council’s memberships so that it can,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
adequately respond to prevailing global challenges and support the legitimate aspirations,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"of emerging and developing countries from Africa, Asia and Latin America, including",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"BRICS countries, to play a greater role in international affairs, in particular in the United",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"Nations,  including  its  Security  Council.  We  recognize  the  legitimate  aspirations  of",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"African countries, as reflected in the Ezulwini Consensus and Sirte Declaration. We stress",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
that the United Nations Security Council reform is to lead to the amplified voice of the,,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
Global  South.  Recalling,the  2022  Beijing,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,and  2023,Johannesburg-II  Leaders’,,,,,
"Declarations, China and Russia, as permanent members of the United Nations Security",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"Council, reiterate their support to the aspirations of Brazil and India to play a greater role",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"in the United Nations, including its Security Council.",,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
7,". In light of the 80th Anniversary of the United Nations, we recall UNGA Resolutions",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,"75/1, 77/335 and other relevant resolutions, and reiterate our commitment to provide the",250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,United  Nations  with  all  the  required  support  it  needs  to  discharge  its  mandate.  We,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,emphasize the strong call for reforms of the principal organs of the United Nations with,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,a view to achieving concrete progress. We recommit to instill new life in the discussions,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,on reform of the UN Security Council and continue the work to revitalize the General,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,Assembly  and  strengthen  the  Economic  and  Social  Council.  We  look  forward  to  the,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
,successful conclusion of the 2025 Review of the Peacebuilding architecture.,250705 - BRICS - Leaders Declaration - EN.pdf,2,1,,,,,,,
"12. We reaffirm that the 2025 World Bank Shareholding Review, co-chaired by Brazil,",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
is a critical tool to strengthen multilateralism and enhance the legitimacy of the World,,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"Bank Group, as a better, bigger, and more effective development finance institution. In",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"line  with  the  Lima  principles,  we  continue  to  advocate  for  the  increased  voice  and",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"representation of developing countries, underpinned by a shareholding realignment that",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
,corrects  their  historic  underrepresentation.  We  will  endeavor  to  ensure  that  tackling,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"poverty  and  inequality,  including  through  job  creation,  in  the  challenging  context  of",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"climate change and digitalization, remains central to the World Bank Group’s mission.",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
1,3. The multilateral trading system has long been at a crossroads. The proliferation of,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"trade-restrictive actions, whether in the form of indiscriminate rising of tariffs and non-",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"tariff measures, or protectionism under the guise of environmental objectives, threatens",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"to further reduce global trade, disrupt global supply chains, and introduce uncertainty into",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"international economic and trade activities, potentially exacerbating existing economic",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
disparities and affecting prospects for global economic development. We voice serious,,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
concerns about the rise of unilateral tariff and non-tariff measures which distort trade and,,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"are inconsistent with WTO rules. In this context, we reiterate our support for the rules-",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
"based, open, transparent, fair, inclusive, equitable, non-discriminatory, consensus-based",,250705 - BRICS - Leaders Declaration - EN.pdf,4,3,,,,,,,
